"Relative Energy Availability (fraction of Earth)","P Concentration (mol/m^3)","Steady State Biomass (cells/ml)","Flow (Mortality) Rate (same units as growth rate)"
0.0012589254117941688,0.01,867507.5985602504,0.017717846296459543
0.001584893192461114,0.01,1.0909235196373435e6,0.02228085987282036
0.001995262314968883,0.01,1.3714881258266184e6,0.028011069702611087
0.002511886431509582,0.01,1.7235942864739895e6,0.035202433610823536
0.0031622776601683794,0.01,2.1651296326864227e6,0.04422028591739676
0.003981071705534978,0.01,2.718250281716726e6,0.05551713986908797
0.005011872336272725,0.01,3.4102825206397907e6,0.06965110349290242
0.006309573444801942,0.01,4.2747473704628665e6,0.08730680514125376
0.00794328234724282,0.01,5.352483111432461e6,0.10931831978203861
0.01,0.01,6.692808447755794e6,0.13669292530208257
0.012589254117941687,0.01,8.354619279511556e6,0.17063350281368886
0.01584893192461114,0.01,1.0407240301599171e7,0.21255592958503675
0.01995262314968883,0.01,1.2930756105434366e7,0.2640958414120268
0.025118864315095822,0.01,1.6015428169653868e7,0.32709672532304984
0.03162277660168379,0.01,1.9759679323389348e7,0.40356875455637137
0.039810717055349776,0.01,2.4266032086664815e7,0.4956058338278988
0.05011872336272725,0.01,2.9634387324754532e7,0.6052483235664633
0.06309573444801943,0.01,3.595222127032448e7,0.7342828253505886
0.07943282347242822,0.01,4.3281770617949195e7,0.8839804521829752
0.1,0.01,5.164513369677583e7,1.054792537054697
0.12589254117941687,0.01,6.1009372753700145e7,1.2460463641903319
0.15848931924611143,0.01,7.127485699714635e7,1.4557070891061357
0.19952623149688828,0.01,8.227068664004517e7,1.680284279943741
0.25118864315095824,0.01,9.376045744755378e7,1.9149496517362752
0.31622776601683794,0.01,1.0545954941848443e8,2.1538901678690583
0.39810717055349776,0.01,1.1706195996693012e8,2.390856076994185
0.5011872336272725,0.01,1.2827163288367938e8,2.6198007710835216
0.6309573444801942,0.01,1.3883167664685896e8,2.835477535863941
0.7943282347242822,0.01,1.4854560513651028e8,3.033873368015827
1.,0.01,1.5728739266600305e8,3.2124143376406655
1.e-8,0.012589254117941675,8.035283126402675,1.413402249593084e-7
1.2589254117941661e-8,0.012589254117941675,10.115821983057941,1.7793679946530783e-7
1.5848931924611143e-8,0.012589254117941675,12.735065213991188,2.2400915625055215e-7
1.9952623149688786e-8,0.012589254117941675,16.032496970888936,2.8201081564954426e-7
2.511886431509582e-8,0.012589254117941675,20.18371754291992,3.5503057647067905e-7
3.162277660168379e-8,0.012589254117941675,25.40979447227778,4.4695700556762173e-7
3.981071705534969e-8,0.012589254117941675,31.989035146894455,5.626855178418117e-7
5.011872336272725e-8,0.012589254117941675,40.27180795635645,7.083790743631525e-7
6.30957344480193e-8,0.012589254117941675,50.699200314459134,8.917963816105527e-7
7.943282347242822e-8,0.012589254117941675,63.826508330936065,1.1227050694423038e-6
1.e-7,0.012589254117941675,80.35280811328401,1.4134018507186052e-6
1.2589254117941662e-7,0.012589254117941675,101.158183860155,1.7793673624796881e-6
1.584893192461114e-7,0.012589254117941675,127.35059527384156,2.240090560578331e-6
1.9952623149688787e-7,0.012589254117941675,160.32487998397917,2.8201065685480837e-6
2.5118864315095823e-7,0.012589254117941675,201.83703287185577,3.55030324798028e-6
3.162277660168379e-7,0.012589254117941675,254.09771787176692,4.469566066934399e-6
3.981071705534969e-7,0.012589254117941675,319.8899919678468,5.62684885669015e-6
5.011872336272725e-7,0.012589254117941675,402.7175096654731,7.0837807243714695e-6
6.30957344480193e-7,0.012589254117941675,506.9911004131125,8.917947936655576e-6
7.943282347242822e-7,0.012589254117941675,638.2636528911642,0.00001122702552720509
1.e-6,0.012589254117941675,803.5258138496849,0.00001413397861986195
1.2589254117941661e-6,0.012589254117941675,1011.5782448161177,0.000017793610407704905
1.584893192461114e-6,0.012589254117941675,1273.5002567421234,0.00002240080541355724
