"","vol_um3","relative_frequency","pg_prot","pg_genome","pg_ribo","pg_lipid","pg_carb"
"1",1.25892541179417,0.0603282122812803,0.325836701002009,0.00111353641178898,0.0187555966340415,0.190546071796325,0.0897428794500749
"2",1.28824955169313,0.0991609000492217,0.332123801325146,0.00114367972667758,0.0190735215356459,0.194088587759278,0.0916853611461923
"3",1.31825673855641,0.153156263169257,0.338532212815354,0.00117463901796611,0.0193968355616292,0.197696964011186,0.0936698877952116
"4",1.34896288259165,0.224509666387065,0.345064276201825,0.00120643637405087,0.019725630062689,0.201372424986239,0.0956973694587657
"5",1.38038426460288,0.314780916550373,0.351722377378703,0.00123909448125875,0.0200599979380028,0.205116217882556,0.0977687358967421
"6",1.41253754462275,0.424740838336548,0.358508948276555,0.00127263664003316,0.0204000336614758,0.208929613085404,0.0998849369936505
"7",1.44543977074593,0.554285736224229,0.365426467750653,0.0013070867815581,0.0207458333084346,0.212813904598271,0.10204694319422
"8",1.47910838816821,0.702420964955131,0.372477462486398,0.0013424694848322,0.0210974945827721,0.216770410481969,0.104255745948424
"9",1.51356124843621,0.867307794978039,0.37966450792222,0.00137880999420507,0.0214551168445536,0.22080047330189,0.106512358166138
"10",1.54881661891248,1.04636287573984,0.386990229190269,0.0014161342373882,0.0218188011380906,0.224905460583578,0.108817814681639
"11",1.58489319246111,1.23639683687211,0.394457302075278,0.00145446884395355,0.0221886502204901,0.229086765276777,0.111173172728159
"12",1.62181009735893,1.43377765541181,0.402068453991913,0.00149384116433284,0.022564768590688,0.2333458062281,0.113579512422707
"13",1.65958690743756,1.63460496447401,0.409826464980983,0.00153427928933111,0.022947262518975,0.237684028662488,0.116037937261391
"14",1.69824365246174,1.83488305868823,0.417734168724878,0.00157581207016858,0.0233362400770227,0.242102904673618,0.118549574625455
"15",1.73780082874938,2.0306825611167,0.425794453582597,0.00161846913906501,0.0237318111684184,0.246603933723434,0.121115576298273
"16",1.77827941003892,2.21828320983186,0.434010263644744,0.00166228093038124,0.0241340875597181,0.251188643150958,0.123737118993535
"17",1.81970085860998,2.39429272764189,0.442384599808886,0.00170727870233313,0.0245431829120254,0.255858588690565,0.126415404894858
"18",1.86208713666287,2.5557390591847,0.450920520875654,0.00175349455929318,0.0249592128131059,0.26061535499989,0.129151662207085
"19",1.90546071796325,2.70013526923851,0.459621144666001,0.00180096147469589,0.0253822948100459,0.265460556197554,0.131947145719512
"20",1.94984459975805,2.82551802749218,0.468489649160013,0.00184971331456325,0.0258125484424647,0.270395836410884,0.134803137381309
"21",1.99526231496888,2.93046183802874,0.477529273657691,0.0018997848616669,0.0262500952762901,0.275422870333817,0.137720946889395
"22",2.04173794466953,3.01407202078306,0.486743319962138,0.00195121184034453,0.0266950589381058,0.280543363795171,0.140701912289033
"23",2.08929613085404,3.07595995481804,0.49613515358557,0.00200403094198791,0.027147565150082,0.285759054337495,0.143747400587436
"24",2.13796208950223,3.11620430061015,0.505708204978599,0.00205827985122097,0.0276077417654969,0.291071711806661,0.14685880838064
"25",2.18776162394955,3.1353018878043,0.515465970783239,0.00211399727278652,0.0280757188048616,0.296483138952434,0.150037562493959
"26",2.23872113856834,3.13411174351122,0.52541201511008,0.00217122295916069,0.0285516284926563,0.301995172040202,0.153285120636294
"27",2.29086765276777,3.11379539790547,0.535549970840114,0.00222999773891504,0.0290356052946898,0.307609681474071,0.156602972068605
"28",2.34422881531992,3.07575618617415,0.545883540951678,0.00229036354584632,0.0295277859560923,0.313328572431558,0.15999263828686
"29",2.39883291901949,3.02157980880794,0.556416499872997,0.00235236344889476,0.0300283095399515,0.319153785510076,0.163455673719756
"30",2.45470891568503,2.95297794795487,0.567152694860832,0.00241604168287237,0.0305373174666047,0.325087297385434,0.16699366644155
"31",2.51188643150958,2.87173629053413,0.578096047405718,0.00248144368002289,0.0310549535535961,0.331131121482591,0.170608238900312
"32",2.57039578276886,2.77966789647341,0.589250554664329,0.00254861610243618,0.0315813640563117,0.337287308658869,0.17430104866195
"33",2.63026799189538,2.67857248410452,0.600620290919473,0.00261760687534004,0.0321166977093033,0.343557947899875,0.178073789170329
"34",2.69153480392692,2.5702018906344,0.612209409068257,0.00268846522129317,0.032661105768312,0.349945167028357,0.181928190523855
"35",2.75422870333817,2.45623170581684,0.624022142138977,0.00276124169530385,0.0332147420530057,0.356451133426244,0.185866020268854
"36",2.81838293126445,2.33823887048095,0.636062804837261,0.00283598822089916,0.033777762990439,0.363078054770101,0.189889084210136
"37",2.88403150312661,2.21768487516946,0.648335795122057,0.00291275812717066,0.0343503276592517,0.369828179780266,0.193999227239098
"38",2.95120922666639,2.09590408305111,0.660845595812029,0.00299160618682288,0.0349325978346151,0.376703798983909,0.19819833417975
"39",3.01995172040202,1.97409662986522,0.673596776222943,0.00307258865525176,0.035524738033941,0.383707245492279,0.202488330653056
"40",3.09029543251359,1.85332531592181,0.68659399383665,0.00315576331068095,0.0361269155633652,0.390840895792402,0.206871183959983
"41",3.16227766016838,1.73451589510853,0.699841996002274,0.00324118949538464,0.036739300565019,0.398107170553497,0.211348903983665
"42",3.23593656929628,1.61846017770828,0.713345621670224,0.00332892815802618,0.0373620660651018,0.405508535448384,0.215923544111087
"43",3.31131121482591,1.50582139234116,0.727109803159661,0.00341904189714291,0.037995388022769,0.413047501990161,0.220597202174733
"44",3.38844156139203,1.39714129281755,0.741139567960076,0.00351159500580807,0.038639445379848,0.420726628384444,0.225372021414598
"45",3.46736850452532,1.29284854407048,0.755440040567619,0.00360665351750171,0.0392944201113979,0.42854852039744,0.230250191461041
"46",3.54813389233576,1.19326797421817,0.770016444356872,0.0037042852532233,0.0399604972771248,0.436515832240166,0.235233949338895
"47",3.63078054770101,1.09863033441087,0.78487410348873,0.00380455986987974,0.0406378650736703,0.444631267469109,0.240325580493324
"48",3.71535229097173,1.0090822622464,0.800018444855099,0.00390754890998315,0.0413267148877845,0.452897579903621,0.24552741983788
"49",3.80189396320561,0.924696196528518,0.815455000061117,0.004013325852694,0.0420272413504024,0.46131757456038,0.250841852825238
"50",3.89045144994281,0.845480039788566,0.831189407445619,0.00412196616624602,0.0427396423916353,0.469894108605215,0.256271316541123
"51",3.98107170553497,0.771386409485001,0.847227414140596,0.00423354736179015,0.0434641192966945,0.478630092322638,0.261818300821898
"52",4.07380277804113,0.70232135865949,0.863574878170381,0.00434814904869615,0.0442008767627644,0.487528490103387,0.267485349396354
"53",4.16869383470335,0.638152481849923,0.880237770591345,0.00446585299135113,0.0449501229568379,0.496592321450336,0.273275061052209
"54",4.26579518801593,0.57871635223791,0.897222177672879,0.00458674316749567,0.0457120695745329,0.505824662003114,0.279190090827853
"55",4.36515832240166,0.523825261497723,0.914534303120461,0.00471090582813903,0.0464869318999064,0.515228644581757,0.285233151229901
"56",4.46683592150963,0.473273254886887,0.932180470341609,0.00483842955909636,0.047274928866281,0.524807460249773,0.291407013477081
"57",4.57088189614875,0.426841471124873,0.950167124755565,0.00496940534419159,0.0480762831181042,0.534564359396972,0.29771450877106
"58",4.67735141287198,0.384302809942512,0.968500836147543,0.0051039266301713,0.0488912210738549,0.544502652842421,0.304158529594774
"59",4.78630092322638,0.345425960269354,0.987188301068397,0.00524208939337581,0.0497199729900171,0.554625712957911,0.310742031038859
"60",4.89778819368446,0.309978829281929,1.0062363452806,0.00538399220821497,0.0505627730261374,0.564936974812303,0.317468032156787
"61",5.01187233627272,0.277731417373163,1.02565192625141,0.00552973631749766,0.0514198593109856,0.575439937337157,0.324339617349349
"62",5.12861383991365,0.24845818691126,1.04544213569415,0.00567942570466507,0.0522914740098371,0.586138164514029,0.331359937779087
"63",5.24807460249773,0.221939973795023,1.06561420215852,0.00583316716797935,0.0531778633928949,0.597035286583837,0.338532212815354
"64",5.37031796370253,0.197965490608233,1.08617549367089,0.00599107039672047,0.0540792779048724,0.608135001278718,0.345859731510649
"65",5.49540873857625,0.176332468919389,1.10713352042552,0.00615324804944583,0.054995972235755,0.619441075076781,0.353345854108902
"66",5.62341325190349,0.156848486219456,1.12849593752776,0.00631981583436825,0.0559282053927616,0.630957344480193,0.360994013586417
"67",5.75439937337157,0.139331520358967,1.15027054779012,0.00649089259190985,0.0568762407735254,0.64268771731702,0.368807717226154
"68",5.88843655355589,0.123610271322889,1.1724653045823,0.00666660037949061,0.0578403462405163,0.654636174067275,0.376790548226102
"69",6.02559586074358,0.109524286922196,1.19508831473627,0.00684706455861219,0.058820794196723,0.666806769213622,0.384946167342452
"70",6.16595001861482,0.0969239256117166,1.21814784150735,0.00703241388429906,0.05981786166262,0.679203632617185,0.393278314568342
"71",6.30957344480193,0.0856701862660831,1.24165230759241,0.00722278059696081,0.0608318303544375,0.691830970918937,0.40179081084894
